publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Penguin Group,Clive Cussler and Thomas Perry,None,9.78E+12,10/7/12,by Clive Cussler and Thomas Perry,THE TOMBS,0
Entangled Publishing,Katee Robert,None,A00B008NIJK9I,10/7/12,by Katee Robert,"WRONG BED, RIGHT GUY",0
Penguin Group,Michael Brandman,None,9.78E+12,9/30/12,by Michael Brandman,ROBERT B. PARKER'S FOOL ME TWICE,0
Penguin Group,Beth Kery,None,9.78E+12,9/30/12,by Beth Kery,BECAUSE YOU ARE MINE PART VII,0
Random House Publishing,Tess Gerritsen,345535952,9.78E+12,9/30/12,by Tess Gerritsen,LAST TO DIE,0
St. Martin's Press,Emily Giffin,1429957867,9.78E+12,9/23/12,by Emily Giffin,WHERE WE BELONG,0
Berkley,Nalini Singh,None,9.78E+12,9/23/12,by Nalini Singh,ARCHANGEL’S STORM,0
Simon & Schuster,Jamie McGuire,1476712050,9.78E+12,9/23/12,by Jamie McGuire,BEAUTIFUL DISASTER,0
Kensington Publishing,G A Aiken,1420131001,9.78E+12,9/23/12,by G. A. Aiken,HOW TO DRIVE A DRAGON CRAZY,0
Berkley,Nalini Singh,None,9.78E+12,9/23/12,by Nalini Singh,ARCHANGEL�۪S STORM,0
Pocket Books,Jude Deveraux,None,9.78E+12,9/16/12,by Jude Deveraux,STRANGER IN THE MOONLIGHT,0
Penguin Group,Beth Kery,None,9.78E+12,9/16/12,by Beth Kery,BECAUSE YOU ARE MINE PART V,0
Simon & Schuster,Brad Thor,1439193061,9.78E+12,9/16/12,by Brad Thor,BLACK LIST,0
Penguin Group,Beth Kerry,1101608528,9.78E+12,9/9/12,by Beth Kerry,BECAUSE YOU ARE MINE PART IV,0
Grand Central Publishing,David Baldacci,446573027,9.78E+12,9/9/12,by David Baldacci,ZERO DAY,0
Delacorte Press,Lee Child,None,9.78E+12,9/9/12,by Lee Child,DEEP DOWN,0
Random House Publishing,Dean Koontz,345533585,9.78E+12,9/9/12,by Dean Koontz,ODD APOCALYPSE,0
"Little, Brown & Company",James Patterson and Michael Ledwidge,316097470,9.78E+12,9/2/12,by James Patterson and Michael Ledwidge,"I, MICHAEL BENNETT",0
Penguin Group,W E B Griffin and William E Butterworth IV,None,9.78E+12,8/26/12,by W. E. B. Griffin and William E. Butterworth IV,THE SPYMASTERS,0
HarperCollins Publishers,Daniel Silva,62073176,9.78E+12,8/26/12,by Daniel Silva,THE FALLEN ANGEL,0
Random House Publishing,Danielle Steel,345533569,9.78E+12,8/26/12,by Danielle Steel,FRIENDS FOREVER,0
HarperCollins Publishers,Lynsay Sands,None,9.78E+12,8/19/12,by Lynsay Sands,THE LADY IS A VAMP,0
Grand Central Publishing,Jill Shalvis,1455503703,9.78E+12,8/19/12,by Jill Shalvis,FOREVER AND A DAY,0
Penguin Group,Kay Hooper,NA,9.78E+12,8/19/12,by Kay Hooper,HAVEN,0
Random House Publishing,John Grisham,034553056X,9.78E+12,8/12/12,by John Grisham,THE LITIGATORS,0
Penguin Group,Catherine Coulter,None,9.78E+12,8/12/12,by Catherine Coulter,BACKFIRE,0
Rerum Publishing House,R L Mathewson,None,2.94E+12,8/12/12,by R. L. Mathewson,PLAYING FOR KEEPS,0
St. Martin's Press,Iris Johansen and Roy Johansen,None,9.78E+12,8/5/12,by Iris Johansen and Roy Johansen,CLOSE YOUR EYES,0
Atria Books,Jennifer Weiner,1451617771,9.78E+12,8/5/12,by Jennifer Weiner,THE NEXT BEST THING,0
Penguin Group,Deborah Harkness,None,9.78E+12,8/5/12,by Deborah Harkness,A DISCOVERY OF WITCHES,0
Random House Publishing,Karin Slaughter,345528514,9.78E+12,7/29/12,by Karin Slaughter,CRIMINAL,0
Penguin Group,Linda Fairstein,NA,9.78E+12,7/29/12,by Linda Fairstein,NIGHT WATCH,0
"Little, Brown & Company",Elin Hilderbrand,316202479,9.78E+12,7/22/12,by Elin Hilderbrand,SUMMERLAND,0
"Little, Brown & Company",James Patterson and Maxine Paetro,316097489,9.78E+12,7/22/12,by James Patterson and Maxine Paetro,11TH HOUR,0
HarperCollins Publishers,James Rollins,62194909,9.78E+12,7/22/12,by James Rollins,BLOODLINE,0
Grand Central Publishing,David Baldacci,446573000,9.78E+12,7/22/12,by David Baldacci,THE INNOCENT,0
Random House Publishing,Karen Thompson Walker,679644385,9.78E+12,7/22/12,by Karen Thompson Walker,THE AGE OF MIRACLES,0
HQN,Gena Showalter,None,9.78E+12,7/15/12,by Gena Showalter,WICKED NIGHTS,0
Knopf Doubleday Publishing,John Grisham,385536089,9.78E+12,7/8/12,by John Grisham,CALICO JOE,0
Berkley,Nora Roberts,None,9.78E+12,7/8/12,by Nora Roberts,THE LAST BOYFRIEND,0
Penguin Group,Clive Cussler and Graham Brown,NA,9.78E+12,7/8/12,by Clive Cussler and Graham Brown,THE STORM,0
Grand Central Publishing,Nicholas Sparks,446542180,9.78E+12,7/8/12,by Nicholas Sparks,THE LUCKY ONE,0
Kensington,Lisa Jackson,NA,9.78E+12,7/1/12,by Lisa Jackson,AFRAID TO DIE,0
Random House Publishing,Karin Slaughter,345538161,9.78E+12,6/24/12,by Karin Slaughter,SNATCHED,0
Random House Publishing,George R R Martin,055389787X,9.78E+12,6/24/12,by George R. R. Martin,A STORM OF SWORDS,0
