publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Riverhead,Paula Hawkins,1594634025,9.78E+12,2/19/17,by Paula Hawkins,THE GIRL ON THE TRAIN,102
Scribner,Anthony Doerr,1501173219,9.78E+12,5/7/17,by Anthony Doerr,ALL THE LIGHT WE CANNOT SEE,81
Vintage,E L James,525431888,9.78E+12,3/5/17,by E. L. James,FIFTY SHADES DARKER,66
St. Martin's,Kristin Hannah,1466850604,9.78E+12,10/29/17,by Kristin Hannah,THE NIGHTINGALE,63
Penguin Group,Kathryn Stockett,1440697663,9.78E+12,4/8/12,by Kathryn Stockett,THE HELP,58
Washington Square,Fredrik Backman,1476738025,9.78E+12,7/23/17,by Fredrik Backman,A MAN CALLED OVE,56
Andrews McMeel,Rupi Kaur,144947425X,9.78E+12,3/11/18,by Rupi Kaur,MILK AND HONEY,52
Bantam,George R R Martin,553897845,9.78E+12,9/17/17,by George R. R. Martin,A GAME OF THRONES,51
Berkley,Liane Moriarty,425274861,9.78E+12,5/21/17,by Liane Moriarty,BIG LITTLE LIES,38
Ballantine,Lisa Wingate,425284697,9.78E+12,6/9/18,by Lisa Wingate,BEFORE WE WERE YOURS,35
Scout,Ruth Ware,1501132954,9.78E+12,10/8/17,by Ruth Ware,THE WOMAN IN CABIN 10,35
Penguin Press,Celeste Ng,735224307,9.78E+12,6/9/18,by Celeste Ng,LITTLE FIRES EVERYWHERE,31
Knopf Doubleday Publishing,Stieg Larsson,307272117,9.78E+12,1/13/13,by Stieg Larsson,THE GIRL WITH THE DRAGON TATTOO,31
Houghton Mifflin Harcourt,Margaret Atwood,038549081X,9.78E+12,6/3/18,by Margaret Atwood,THE HANDMAID'S TALE,27
Doubleday,John Grisham,1101967684,9.78E+12,9/24/17,by John Grisham,THE WHISTLER,25
Grand Central,Nicholas Sparks,1455520667,9.78E+12,5/17/15,by Nicholas Sparks,THE LONGEST RIDE,25
Broadway,Ernest Cline,307887448,9.78E+12,5/20/18,by Ernest Cline,READY PLAYER ONE,24
Doubleday,John Grisham,1524797154,9.78E+12,5/27/18,by John Grisham,CAMINO ISLAND,23
Dell,Diana Gabaldon,440335167,9.78E+12,9/24/17,by Diana Gabaldon,OUTLANDER,21
Penguin Group,Sylvia Day,None,9.78E+12,2/10/13,by Sylvia Day,BARED TO YOU,21
Andrews McMeel,Rupi Kaur,1449486797,9.78E+12,4/1/18,by Rupi Kaur,THE SUN AND HER FLOWERS,20
Doubleday,Dan Brown,385514239,9.78E+12,3/4/18,by Dan Brown,ORIGIN,20
Ballantine,Martha Hall Kelly,1101883081,9.78E+12,9/17/17,by Martha Hall Kelly,LILAC GIRLS,20
Scribner,Stephen King,1501120603,9.78E+12,3/6/16,by Stephen King,November 22 1963,19
Vintage,E L James,345803574,9.78E+12,3/8/15,by E. L. James,FIFTY SHADES TRILOGY,19
Forge Books,W Bruce Cameron,765388111,9.78E+12,4/30/17,by W. Bruce Cameron,A DOG'S PURPOSE,18
Entangled Publishing,Jennifer Probst,None,A00B00790TI0W,9/2/12,by Jennifer Probst,THE MARRIAGE BARGAIN,17
St. Martin's,Kristin Hannah,125016561X,9.78E+12,6/9/18,by Kristin Hannah,THE GREAT ALONE,16
Doubleday,Colson Whitehead,385542364,9.78E+12,2/12/17,by Colson Whitehead,THE UNDERGROUND RAILROAD,16
Ballantine,Jodi Picoult,034554496X,9.78E+12,2/12/17,by Jodi Picoult,SMALL GREAT THINGS,16
Grand Central,Nicholas Sparks,1455520691,9.78E+12,2/5/17,by Nicholas Sparks,TWO BY TWO,16
Harper,Harper Lee,62409875,9.78E+12,7/10/16,by Harper Lee,GO SET A WATCHMAN,16
Morrow,AJ Finn,62678418,9.78E+12,5/6/18,by A.J. Finn,THE WOMAN IN THE WINDOW,15
Scribner,Stephen King,1501175467,9.78E+12,12/10/17,by Stephen King,IT,15
Grand Central,Nicholas Sparks,1455520608,9.78E+12,7/2/17,by Nicholas Sparks,SEE ME,15
Grand Central,David Baldacci,446573043,9.78E+12,5/5/13,by David Baldacci,THE FORGOTTEN,15
Delacorte,Lee Child,399593500,9.78E+12,6/9/18,by Lee Child,THE MIDNIGHT LINE,14
Doubleday,John Grisham,385541171,9.78E+12,2/11/18,by John Grisham,THE ROOSTER BAR,14
Grand Central,David Baldacci,145558648X,9.78E+12,5/14/17,by David Baldacci,THE LAST MILE,14
Riverhead,Paula Hawkins,735211221,9.78E+12,6/3/18,by Paula Hawkins,INTO THE WATER,13
Windblown Media,William P Young,964729237,9.78E+12,5/7/17,by William P. Young,THE SHACK,13
"Sarah Crichton/Farrar, Straus & Giroux",Matthew Quick,142996023X,9.78E+12,6/2/13,by Matthew Quick,THE SILVER LININGS PLAYBOOK,13
Delacorte Press,William Landay,345527593,9.78E+12,4/7/13,by William Landay,DEFENDING JACOB,13
Grand Central,David Baldacci,1455586587,9.78E+12,4/1/18,by David Baldacci,THE FIX,12
Grand Central,David Baldacci,1455521167,9.78E+12,4/12/15,by David Baldacci,THE ESCAPE,12
Darcie Chan,Darcie Chan,None,9.78E+12,9/29/13,by Darcie Chan,THE MILL RIVER RECLUSE,12
Houghton Mifflin Harcourt,Yann Martel,547416113,9.78E+12,4/7/13,by Yann Martel,LIFE OF PI,12
Delacorte,Lee Child,804178828,9.78E+12,6/18/17,by Lee Child,NIGHT SCHOOL,11
Berkley,Nora Roberts,110198760X,9.78E+12,4/23/17,by Nora Roberts,THE OBSESSION,11
Ecco/HarperCollins,Cynthia D'Aprix Sweeney,62414216,9.78E+12,6/19/16,by Cynthia D'Aprix Sweeney,THE NEST,11
Grand Central,David Baldacci,1455586501,9.78E+12,4/9/17,by David Baldacci,NO MAN'S LAND,10
"Little, Brown",James Patterson,031640716X,9.78E+12,3/26/17,by James Patterson,CROSS THE LINE,10
Grand Central,David Baldacci,1455586439,9.78E+12,4/17/16,by David Baldacci,THE GUILTY,10
Putnam,Nora Roberts,1101989750,9.78E+12,4/10/16,by Nora Roberts,THE LIAR,10
Knopf,David Lagercrantz,385354290,9.78E+12,3/13/16,by David Lagercrantz,THE GIRL IN THE SPIDER'S WEB,10
"Little, Brown & Company",James Patterson,None,9.78E+12,2/5/12,by James Patterson,KILL ALEX CROSS,10
Knopf Doubleday,John Grisham,440245117,9.78E+12,9/11/11,by John Grisham,THE CONFESSION,10
Vintage,EL James,385543980,9.78E+12,2/25/18,by E.L. James,DARKER,9
Viking,Ken Follett,052595497X,9.78E+12,12/10/17,by Ken Follett,A COLUMN OF FIRE,9
Flatiron,Liane Moriarty,1250069815,9.78E+12,1/15/17,by Liane Moriarty,TRULY MADLY GUILTY,9
Grand Central,Nicholas Sparks,446401315,9.78E+12,3/6/16,by Nicholas Sparks,THE CHOICE,9
Delacorte,Lee Child,804178755,9.78E+12,5/24/15,by Lee Child,PERSONAL,9
"Little, Brown",James Patterson,None,9.78E+12,2/8/15,by James Patterson,HOPE TO DIE,9
Grand Central,Nicholas Sparks,None,9.78E+12,11/16/14,by Nicholas Sparks,THE BEST OF ME,9
Grand Central,David Baldacci,145552123X,9.78E+12,7/6/14,by David Baldacci,THE TARGET,9
Grand Central,David Baldacci,1455521280,9.78E+12,7/7/13,by David Baldacci,THE HIT,9
Tracey Garvis-Graves,Tracey Garvis-Graves,None,A00B005L9B5YU,6/24/12,by Tracey Garvis-Graves,ON THE ISLAND,9
"Little, Brown",James Patterson and Michael Ledwidge,031612723X,9.78E+12,9/11/11,by James Patterson and Michael Ledwidge,NOW YOU SEE HER,9
St. Martin's,Greer Hendricks and Sarah Pekkanen,125013093X,9.78E+12,6/3/18,by Greer Hendricks and Sarah Pekkanen,THE WIFE BETWEEN US,8
Algonquin,Tayari Jones,1616207604,9.78E+12,4/15/18,by Tayari Jones,AN AMERICAN MARRIAGE,8
Grand Central,David Baldacci,1455586633,9.78E+12,1/21/18,by David Baldacci,END GAME,8
Bantam,Janet Evanovich,345543017,9.78E+12,10/1/17,by Janet Evanovich,TURBO TWENTY-THREE,8
Random House,Emma Cline,812998618,9.78E+12,8/21/16,by Emma Cline,THE GIRLS,8
Picador,Michael Punke,1250072689,9.78E+12,3/20/16,by Michael Punke,THE REVENANT,8
Scribner,Stephen King,1501111671,9.78E+12,1/10/16,by Stephen King,THE BAZAAR OF BAD DREAMS,8
Putnam,Nora Roberts,None,9.78E+12,7/26/15,by Nora Roberts,WHISKEY BEACH,8
Delacorte,Lee Child,440246326,9.78E+12,4/27/14,by Lee Child,NEVER GO BACK,8
Broadway,Max Brooks,307351939,9.78E+12,7/28/13,by Max Brooks,WORLD WAR Z,8
"Little, Brown & Company",James Patterson,316210692,9.78E+12,1/20/13,by James Patterson,"MERRY CHRISTMAS, ALEX CROSS",8
Random House Publishing,Janet Evanovich,345527704,9.78E+12,12/18/11,by Janet Evanovich,SMOKIN’ SEVENTEEN,8
Grand Central,David Baldacci,446573078,9.78E+12,6/26/11,by David Baldacci,THE SIXTH MAN,8
"Little, Brown",Michael Connelly,316069388,9.78E+12,6/12/11,by Michael Connelly,THE FIFTH WITNESS,8
"Little, Brown",Michael Connelly,316225916,9.78E+12,1/14/18,by Michael Connelly,TWO KINDS OF TRUTH,7
Knopf,David Lagercrantz,451494334,9.78E+12,11/12/17,by David Lagercrantz,THE GIRL WHO TAKES AN EYE FOR AN EYE,7
"Little, Brown",Michael Connelly,316225975,9.78E+12,10/15/17,by Michael Connelly,THE LATE SHOW,7
"Little, Brown",Michael Connelly,316225959,9.78E+12,1/15/17,by Michael Connelly,THE WRONG SIDE OF GOODBYE,7
"Little, Brown",Michael Connelly,None,9.78E+12,3/27/16,by Michael Connelly,THE DROP,7
"Little, Brown",James Patterson,316407143,9.78E+12,1/24/16,by James Patterson,CROSS JUSTICE,7
Scribner,Stephen King,1476770387,9.78E+12,1/11/15,by Stephen King,REVIVAL,7
"Little, Brown",James Patterson and David Ellis,NA,9.78E+12,8/31/14,by James Patterson and David Ellis,INVISIBLE,7
Scribner,Stephen King,1476754462,9.78E+12,8/3/14,by Stephen King,MR. MERCEDES,7
"Little, Brown",James Patterson and Maxine Paetro,316211281,9.78E+12,7/6/14,by James Patterson and Maxine Paetro,UNLUCKY 13,7
"Little, Brown",James Patterson,316210927,9.78E+12,2/2/14,by James Patterson,CROSS MY HEART,7
Grand Central,David Baldacci,None,9.78E+12,1/19/14,by David Baldacci,KING AND MAXWELL,7
Rachel Van Dyken,Rachel Van Dyken,989078310,9.78E+12,6/2/13,by Rachel Van Dyken,THE BET,7
Knopf Doubleday Publishing,Maeve Binchy,None,9.78E+12,4/14/13,by Maeve Binchy,A WEEK IN WINTER,7
Colleen Hoover,Colleen Hoover,None,A00B00AQ3K8IU,2/24/13,by Colleen Hoover,HOPELESS,7
Atria Books,Vince Flynn,None,9.78E+12,4/8/12,by Vince Flynn,KILL SHOT,7
"Little, Brown & Company",James Patterson and Marshall Karp,316097551,9.78E+12,10/30/11,by James Patterson and Marshall Karp,KILL ME IF YOU CAN,7
Grand Central,David Baldacci,1538761378,9.78E+12,6/9/18,by David Baldacci,THE FALLEN,6
Putnam,John Sandford,1101988843,9.78E+12,4/22/18,by John Sandford,GOLDEN PREY,6
Scribner,Jason Matthews,NA,9.78E+12,4/15/18,by Jason Matthews,RED SPARROW,6
"Little, Brown",James Patterson and Maxine Paetro,031655345X,9.78E+12,2/18/18,by James Patterson and Maxine Paetro,16TH SEDUCTION,6
Delacorte,Lee Child,399593594,9.78E+12,2/4/18,by Lee Child,NO MIDDLE NAME,6
"Little, Brown",James Patterson,None,9.78E+12,1/14/18,by James Patterson,THE PEOPLE VS. ALEX CROSS,6
Crown,Andy Weir,553448129,9.78E+12,1/7/18,by Andy Weir,ARTEMIS,6
Putnam,Janet Evanovich,399179194,9.78E+12,1/7/18,by Janet Evanovich,HARDCORE TWENTY-FOUR,6
Simon & Schuster,Nelson DeMille,1501101749,9.78E+12,11/12/17,by Nelson DeMille,THE CUBAN AFFAIR,6
"Little, Brown",Elin Hilderbrand,316375209,9.78E+12,8/6/17,by Elin Hilderbrand,THE IDENTICALS,6
"Little, Brown",James Patterson and David Ellis,316464147,9.78E+12,5/21/17,by James Patterson and David Ellis,THE BLACK BOOK,6
Norton,Neil Gaiman,039360909X,9.78E+12,4/2/17,by Neil Gaiman,NORSE MYTHOLOGY,6
HarperCollins,Paulo Coelho,62416219,9.78E+12,1/15/17,by Paulo Coelho,THE ALCHEMIST,6
Harlequin,Nora Roberts,1459295366,9.78E+12,12/11/16,by Nora Roberts,UNFINISHED BUSINESS,6
Dutton,Harlan Coben,698411447,9.78E+12,11/13/16,by Harlan Coben,HOME,6
Scribner,Stephen King,1501129740,9.78E+12,7/31/16,by Stephen King,END OF WATCH,6
Dutton,Harlan Coben,698404173,9.78E+12,5/15/16,by Harlan Coben,FOOL ME ONCE,6
Emily Bestler/Atria,Vince Flynn and Kyle Mills,1476783470,9.78E+12,11/29/15,by Vince Flynn and Kyle Mills,THE SURVIVOR,6
Emily Bestler/Atria,Brad Thor,1476717176,9.78E+12,8/30/15,by Brad Thor,CODE OF CONDUCT,6
Harper,Daniel Silva,NA,9.78E+12,9/7/14,by Daniel Silva,THE HEIST,6
"Mulholland/Little, Brown",Robert Galbraith,NA,9.78E+12,8/10/14,by Robert Galbraith,THE SILKWORM,6
"Little, Brown",James Patterson and Marshall Karp,316211249,9.78E+12,5/18/14,by James Patterson and Marshall Karp,NYPD RED 2,6
Dutton,Harlan Coben,698148630,9.78E+12,5/11/14,by Harlan Coben,MISSING YOU,6
Dell,Lee Child,440246318,9.78E+12,6/23/13,by Lee Child,A WANTED MAN,6
"Little, Brown & Company",Stephenie Meyer,316128651,9.78E+12,4/28/13,by Stephenie Meyer,THE HOST,6
Simon & Schuster,Vince Flynn,141659521X,9.78E+12,1/6/13,by Vince Flynn,THE LAST MAN,6
"Little, Brown & Company",James Patterson and Mark Sullivan,316206814,9.78E+12,4/8/12,by James Patterson and Mark Sullivan,PRIVATE GAMES,6
Penguin Group,Sue Grafton,399157867,9.78E+12,1/8/12,by Sue Grafton,V IS FOR VENGEANCE,6
Penguin Group,Charlaine Harris,None,9.78E+12,6/26/11,by Charlaine Harris,DEAD RECKONING,6
Simon & Schuster,Jodi Picoult,1439102724,9.78E+12,4/24/11,by Jodi Picoult,SING YOU HOME,6
Putnam,John Sandford,073521736X,9.78E+12,6/9/18,by John Sandford,TWISTED PREY,5
Delacorte,Danielle Steel,1101883960,9.78E+12,5/6/18,by Danielle Steel,THE RIGHT TIME,5
Pamela Dorman/Viking,Jojo Moyes,399562478,9.78E+12,3/18/18,by Jojo Moyes,STILL ME,5
Scribner,Stephen King and Owen King,150116340X,9.78E+12,1/7/18,by Stephen King and Owen King,SLEEPING BEAUTIES,5
"Little, Brown",James Patterson and Howard Roughan,316553476,9.78E+12,8/13/17,by James Patterson and Howard Roughan,MURDER GAMES,5
St. Martin's,Nora Roberts,1250123100,9.78E+12,7/16/17,by Nora Roberts,COME SUNDOWN,5
"Little, Brown",James Patterson and Michael Ledwidge,1455585300,9.78E+12,3/12/17,by James Patterson and Michael Ledwidge,BULLSEYE,5
"Little, Brown",James Patterson and Candice Fox,316433179,9.78E+12,3/5/17,by James Patterson and Candice Fox,NEVER NEVER,5
Delacorte,Danielle Steel,425285421,9.78E+12,2/19/17,by Danielle Steel,THE APARTMENT,5
Putnam,John Sandford,None,9.78E+12,6/12/16,by John Sandford,EXTREME PREY,5
Random House,Elizabeth Strout,812989074,9.78E+12,2/28/16,by Elizabeth Strout,MY NAME IS LUCY BARTON,5
Morrow/HarperCollins,Karin Slaughter,006242906X,9.78E+12,1/17/16,by Karin Slaughter,PRETTY GIRLS,5
Harper/HarperCollins,Mitch Albom,62294415,9.78E+12,1/10/16,by Mitch Albom,THE MAGIC STRINGS OF FRANKIE PRESTO,5
Marian Wood/Putnam,Sue Grafton,110161434X,9.78E+12,10/11/15,by Sue Grafton,X,5
Morrow/HarperCollins,Patricia Cornwell,None,9.78E+12,8/30/15,by Patricia Cornwell,FLESH AND BLOOD,5
Random House Publishing,Debbie Macomber,345535111,9.78E+12,5/24/15,by Debbie Macomber,THE INN AT ROSE HARBOR,5
Putnam,John Sandford,NA,9.78E+12,11/23/14,by John Sandford,DEADLINE,5
Grand Central,Sandra Brown,None,9.78E+12,10/12/14,by Sandra Brown,MEAN STREAK,5
Barbara Freethy,Barbara Freethy,None,9.78E+12,8/10/14,by Barbara Freethy,DON'T SAY A WORD,5
Witness Impulse/HarperCollins,Brian McGilloway,None,9.78E+12,5/11/14,by Brian McGilloway,LITTLE GIRL LOST,5
"Little, Brown",James Patterson and Mark Sullivan,316211117,9.78E+12,3/30/14,by James Patterson and Mark Sullivan,PRIVATE L.A.,5
Simon & Schuster,Graeme Simsion,NA,9.78E+12,3/2/14,by Graeme Simsion,THE ROSIE PROJECT,5
"Little, Brown",James Patterson and David Ellis,316211060,9.78E+12,9/22/13,by James Patterson and David Ellis,MISTRESS,5
"Little, Brown",Michael Connelly,316069442,9.78E+12,5/5/13,by Michael Connelly,THE BLACK BOX,5
"Little, Brown & Company",James Patterson and Marshall Karp,316199893,9.78E+12,11/25/12,by James Patterson and Marshall Karp,NYPD RED,5
Colleen Hoover,Colleen Hoover,None,A00B006RUJST6,8/26/12,by Colleen Hoover,SLAMMED,5
Grand Central Publishing,Seth Grahame-Smith,446571857,9.78E+12,7/22/12,by Seth Grahame-Smith,ABRAHAM LINCOLN: VAMPIRE HUNTER,5
Penguin Group,John Sandford,NA,9.78E+12,7/8/12,by John Sandford,STOLEN PREY,5
Penguin Group,Patricia Cornwell,None,9.78E+12,1/22/12,by Patricia Cornwell,RED MIST,5
Legacy,CJ Lyons,None,A00B0043M6J92,10/9/11,by CJ Lyons,BLIND FAITH,5
Simon & Schuster,Mary Higgins Clark,1439180962,9.78E+12,5/22/11,by Mary Higgins Clark,I’LL WALK ALONE,5
Crown,Jean M Auel,517580519,9.78E+12,5/22/11,by Jean M. Auel,THE LAND OF PAINTED CAVES,5
Random House,Lisa Gardner,553908111,9.78E+12,4/24/11,by Lisa Gardner,LOVE YOU MORE,5
"Little, Brown",James Patterson and Maxine Paetro,316274046,9.78E+12,6/9/18,by James Patterson and Maxine Paetro,THE 17TH SUSPECT,4
Simon & Schuster,Mary Higgins Clark,1501171690,9.78E+12,5/13/18,by Mary Higgins Clark,I'VE GOT MY EYES ON YOU,4
"Little, Brown",James Patterson and Marshall Karp,316395587,9.78E+12,5/6/18,by James Patterson and Marshall Karp,RED ALERT,4
Simon & Schuster,Mary Higgins Clark,1501131125,9.78E+12,4/22/18,by Mary Higgins Clark,"ALL BY MYSELF, ALONE",4
Grand Central,Brad Meltzer,1455559512,9.78E+12,4/15/18,by Brad Meltzer,THE ESCAPE ARTIST,4
St. Martin's,Nora Roberts,None,9.78E+12,1/14/18,by Nora Roberts,YEAR ONE,4
Putnam,Marc Cameron,735215898,9.78E+12,1/7/18,by Marc Cameron,TOM CLANCY POWER AND EMPIRE,4
Putnam,John Sandford,698407113,9.78E+12,11/26/17,by John Sandford,DEEP FREEZE,4
Grand Central,Sandra Brown,1455572071,9.78E+12,11/12/17,by Sandra Brown,SEEING RED,4
Dutton,Harlan Coben,698411668,9.78E+12,11/5/17,by Harlan Coben,DON'T LET GO,4
Atria/Emily Bestler,Kyle Mills,1476783543,9.78E+12,10/15/17,by Kyle Mills,ENEMY OF THE STATE,4
Marian Wood/Putnam,Sue Grafton,399163859,9.78E+12,10/1/17,by Sue Grafton,Y IS FOR YESTERDAY,4
Pocket Books,Stephen King,None,9.78E+12,8/27/17,by Stephen King,THE GUNSLINGER,4
Harper,Daniel Silva,62354361,9.78E+12,8/20/17,by Daniel Silva,HOUSE OF SPIES,4
St. Martin's,J D Robb,1250123135,9.78E+12,8/20/17,by J. D. Robb,ECHOES IN DEATH,4
Atria/Emily Bestler,Brad Thor,1476789401,9.78E+12,8/6/17,by Brad Thor,USE OF FORCE,4
Harper,Michael Crichton,62473352,9.78E+12,7/2/17,by Michael Crichton,DRAGON TEETH,4
Morrow,Neil Gaiman,None,9.78E+12,6/11/17,by Neil Gaiman,AMERICAN GODS,4
Dutton,Lisa Gardner,698411439,9.78E+12,3/12/17,by Lisa Gardner,RIGHT BEHIND YOU,4
Putnam,John Sandford,None,9.78E+12,11/27/16,by John Sandford,ESCAPE CLAUSE,4
"Little, Brown",James Patterson and Mark Sullivan,031629019X,9.78E+12,8/7/16,by James Patterson and Mark Sullivan,THE GAMES,4
St. Martin's,Mary Kay Andrews,1466872926,9.78E+12,6/26/16,by Mary Kay Andrews,THE WEEKENDERS,4
St. Martin's Griffin,Sylvia Day,1250109310,9.78E+12,5/15/16,by Sylvia Day,ONE WITH YOU,4
"Little, Brown",James Patterson and Mark Sullivan,316408999,9.78E+12,4/24/16,by James Patterson and Mark Sullivan,PRIVATE PARIS,4
Berkley,Nora Roberts,425280101,9.78E+12,12/13/15,by Nora Roberts,STARS OF FORTUNE,4
"Mulholland/Little, Brown",Robert Galbraith,316349925,9.78E+12,11/29/15,by Robert Galbraith,CAREER OF EVIL,4
Grand Central,Sandra Brown,1455581178,9.78E+12,9/27/15,by Sandra Brown,FRICTION,4
"Little, Brown",James Patterson and Michael Ledwidge,316407186,9.78E+12,9/13/15,by James Patterson and Michael Ledwidge,ALERT,4
Ballantine,Paula McLain,345534190,9.78E+12,9/6/15,by Paula McLain,CIRCLING THE SUN,4
Random House Publishing,Janet Evanovich,034552778X,9.78E+12,5/24/15,by Janet Evanovich,WICKED BUSINESS,4
Putnam,Mark Greaney,399173358,9.78E+12,1/11/15,by Mark Greaney,TOM CLANCY FULL FORCE AND EFFECT,4
Penelope Ward,Penelope Ward,1942215037,9.78E+12,11/9/14,by Penelope Ward,STEPBROTHER DEAREST,4
Putnam,Jan Karon,399167447,9.78E+12,10/12/14,by Jan Karon,SOMEWHERE SAFE WITH SOMEBODY GOOD,4
Grand Central,James Patterson and Michael White,145552977X,9.78E+12,10/12/14,by James Patterson and Michael White,PRIVATE DOWN UNDER,4
Viking,Deborah Harkness,698163478,9.78E+12,8/31/14,by Deborah Harkness,THE BOOK OF LIFE,4
Ballantine,Jonathan Kellerman,345548418,9.78E+12,3/23/14,by Jonathan Kellerman,KILLER,4
"Little, Brown",James Patterson and Michael Ledwidge,031621101X,9.78E+12,11/10/13,by James Patterson and Michael Ledwidge,GONE,4
Soho Press,Lene Kaaberbol,1569479828,9.78E+12,9/8/13,by Lene Kaaberbol,THE BOY IN THE SUITCASE,4
Laree Bailey,H M Ward,985547324,9.78E+12,5/19/13,by H. M. Ward,DAMAGED,4
Harlequin Mira,Ron Carr,None,9.78E+12,5/5/13,by Robyn Carr,THE WANDERER,4
Jasinda Wilder,Jasinda Wilder,None,A00B00BUPMC8C,4/28/13,by Jasinda Wilder,FALLING INTO YOU,4
Grand Central Publishing,JA Redmerski,None,9.78E+12,4/14/13,by  J.A. Redmerski,THE EDGE OF NEVER,4
Penguin Group,Maya Banks,NA,9.78E+12,3/17/13,by Maya Banks,RUSH,4
Addison Moore,Addison Moore,1624300006,9.78E+12,2/10/13,by Addison Moore,SOMEONE TO LOVE,4
Jessica Sorensen,Jessica Sorensen,None,A00B009LBO334,12/2/12,by Jessica Sorensen,THE SECRET OF ELLA AND MICHA,4
Penguin Group,Charlaine Harris,None,9.78E+12,6/10/12,by Charlaine Harris,DEADLOCKED,4
Penguin Group,Harlan Coben,None,9.78E+12,4/29/12,by Harlan Coben,STAY CLOSE,4
Barbara Freethy,Barbara Freethy,None,A00B004T3RQQK,3/18/12,by Barbara Freethy,THE SWEETEST THING,4
Random House Publishing,Sophie Kinsella,440334861,9.78E+12,11/13/11,by Sophie Kinsella,CAN YOU KEEP A SECRET?,4
Mira,Debbie Macomber,778312518,9.78E+12,10/9/11,by Debbie Macomber,1105 YAKIMA STREET,4
HarperCollins,J A Jance,61758221,9.78E+12,9/11/11,by J. A. Jance,UNTIL PROVEN GUILTY,4
Simon & Schuster,Brad Thor,1416586768,9.78E+12,9/4/11,by Brad Thor,FULL BLACK,4
"Little, Brown",James Patterson and Neil McMahon,316097373,9.78E+12,4/24/11,by James Patterson and Neil McMahon,TOYS,4
Random House,Lisa Gardner,553901133,9.78E+12,3/20/11,by Lisa Gardner,ALONE,4
Penguin Group,Tom Clancy with Grant Blackwood,None,9.78E+12,3/6/11,by Tom Clancy with Grant Blackwood,DEAD OR ALIVE,4
Penguin,Shari Lapena,525505318,9.78E+12,6/9/18,by Shari Lapena,THE COUPLE NEXT DOOR,3
St. Martin's,Mary Kay Andrews,1250126096,9.78E+12,6/9/18,by Mary Kay Andrews,THE HIGH TIDE CLUB,3
St. Martin's,Lisa Scottoline,1250099676,9.78E+12,5/13/18,by Lisa Scottoline,AFTER ANNA,3
"Little, Brown",James Patterson and Candice Fox,316513229,9.78E+12,3/25/18,by James Patterson and Candice Fox,FIFTY FIFTY,3
Dutton,Lisa Gardner,1524742066,9.78E+12,3/11/18,by Lisa Gardner,LOOK FOR ME,3
St. Martin's,JD Robb,125016155X,9.78E+12,3/4/18,by J.D. Robb,DARK IN DEATH,3
Tor,Brandon Sanderson,076532637X,9.78E+12,12/17/17,by Brandon Sanderson,OATHBRINGER,3
Vintage,Jo Nesbo,525435921,9.78E+12,11/12/17,by Jo Nesbo,THE SNOWMAN,3
Scribner,Jennifer Egan,1476716757,9.78E+12,11/5/17,by Jennifer Egan,MANHATTAN BEACH,3
"Little, Brown",James Patterson and James O Born,031627397X,9.78E+12,10/22/17,by James Patterson and James O. Born,HAUNTED,3
Viking,John le Carré,735225117,9.78E+12,10/8/17,by John le Carré,A LEGACY OF SPIES,3
St. Martin's,JD Robb,None,9.78E+12,10/8/17,by J.D. Robb,SECRETS IN DEATH,3
"Little, Brown",James Patterson and Richard DiLallo,316395455,9.78E+12,9/17/17,by James Patterson and Richard DiLallo,THE STORE,3
Scout,Ruth Ware,1501156004,9.78E+12,8/27/17,by Ruth Ware,THE LYING GAME,3
Putnam,Clive Cussler and Graham Brown,399184015,9.78E+12,7/2/17,by Clive Cussler and Graham Brown,NIGHTHAWK,3
Bantam,Janet Evanovich and Phoef Sutton,553392697,9.78E+12,6/18/17,by Janet Evanovich and Phoef Sutton,CURIOUS MINDS,3
Morrow/HarperCollins,Greg Iles,62311158,9.78E+12,4/23/17,by Greg Iles,MISSISSIPPI BLOOD,3
Zebra,Lisa Jackson,1420136070,9.78E+12,4/2/17,by Lisa Jackson,EXPECTING TO DIE,3
Washington Square,Fredrik Backman,1501115073,9.78E+12,3/12/17,by Fredrik Backman,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,3
Ballantine,J P Delaney,425285057,9.78E+12,2/26/17,by J P Delaney,THE GIRL BEFORE,3
Delacorte,Danielle Steel,345531116,9.78E+12,2/5/17,by Danielle Steel,THE MISTRESS,3
Berkley,Nora Roberts,425280128,9.78E+12,1/8/17,by Nora Roberts,ISLAND OF GLASS,3
Grand Central,James Patterson and Kathryn Fox,1455568139,9.78E+12,11/6/16,by James Patterson and Kathryn Fox,MISSING,3
Viking,Tana French,None,9.78E+12,11/6/16,by Tana French,THE TRESPASSER,3
"Little, Brown",James Patterson and Maxine Paetro,031627402X,9.78E+12,10/30/16,by James Patterson and Maxine Paetro,WOMAN OF GOD,3
Gallery Books,Catherine Coulter,1501150316,9.78E+12,9/11/16,by Catherine Coulter,INSIDIOUS,3
Delacorte,Danielle Steel,1101885572,9.78E+12,8/7/16,by Danielle Steel,MAGIC,3
Berkley,Nora Roberts,042528011X,9.78E+12,7/17/16,by Nora Roberts,BAY OF SIGHS,3
EverAfter Romance,Vi Keeland and Penelope Ward,1942215398,9.78E+12,5/15/16,by Vi Keeland and Penelope Ward,STUCK-UP SUIT,3
